"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mitch Moreland","- - -","643","2388","101","278","350","5","8.7 %","22.0 %",".203",".285",".251",".321",".454",".330","101","-10.0","-6.4","-31.1","4.5","3086"
"Greg Garcia","- - -","529","1214","14","134","87","6","13.0 %","20.3 %",".096",".314",".250",".359",".345",".315","96","4.2","-1.9","7.3","4.4","10951"
"Omar Narvaez","- - -","353","1216","34","129","109","0","11.3 %","17.8 %",".136",".317",".276",".361",".411",".336","113","-6.6","12.8","-10.1","4.4","13338"
"Brock Holt","Red Sox","483","1659","19","200","163","22","9.5 %","19.2 %",".108",".330",".270",".346",".378",".318","95","0.1","-10.3","-3.2","4.4","9345"
"Manuel Margot","Padres","428","1526","33","166","130","50","6.9 %","18.9 %",".146",".289",".248",".301",".394",".297","84","5.1","-25.5","20.1","4.3","14712"
"Tim Beckham","- - -","468","1743","63","200","197","13","6.4 %","29.0 %",".183",".321",".248",".301",".431",".313","96","-4.8","-12.4","-4.1","4.3","7949"
"Hunter Renfroe","Padres","390","1450","89","176","204","10","7.2 %","28.1 %",".259",".265",".235",".294",".494",".328","105","-0.5","7.4","-12.2","4.2","15464"
"Michael A. Taylor","Nationals","519","1662","47","188","163","77","6.9 %","31.4 %",".153",".332",".241",".294",".394",".294","79","12.0","-30.0","19.2","4.2","11489"
"Jurickson Profar","- - -","397","1489","45","190","169","22","9.5 %","16.0 %",".171",".254",".235",".319",".405",".313","91","4.9","-12.3","2.8","4.2","10815"
"Justin Bour","- - -","520","1867","91","196","292","3","11.2 %","22.9 %",".210",".283",".251",".336",".462",".338","114","-19.3","12.9","-32.1","4.1","9744"
"Ryan Zimmerman","Nationals","491","1946","86","246","305","7","7.9 %","20.7 %",".212",".288",".261",".320",".473",".336","106","2.5","17.4","-38.6","4.1","4220"
"Dansby Swanson","Braves","445","1774","40","207","192","26","9.4 %","22.5 %",".140",".301",".245",".318",".385",".298","81","9.8","-32.8","14.8","3.9","18314"
"Johan Camargo","Braves","314","1028","30","124","135","2","7.6 %","19.6 %",".169",".313",".269",".328",".438",".326","100","-1.9","-2.4","7.4","3.9","14950"
"Cory Spangenberg","- - -","399","1315","27","147","110","30","7.4 %","27.4 %",".131",".342",".254",".315",".386",".304","90","13.0","-3.4","-1.0","3.9","12294"
"Jesus Aguilar","- - -","429","1272","63","159","212","0","9.9 %","25.6 %",".222",".305",".260",".337",".482",".346","114","-5.8","15.9","-19.2","3.9","11342"
"Alex Avila","- - -","379","1239","41","116","117","1","17.2 %","34.1 %",".160",".318",".215",".352",".375",".321","99","-10.5","-12.0","10.1","3.9","7476"
"Chris Davis","Orioles","678","2733","139","330","347","6","11.5 %","34.9 %",".214",".283",".214",".311",".427",".317","97","0.8","-10.6","-46.8","3.8","9272"
"Josh Bell","Pirates","495","1968","78","261","287","4","12.1 %","18.2 %",".212",".290",".265",".354",".477",".350","118","-16.5","28.9","-53.4","3.8","13145"
"Maikel Franco","Phillies","640","2481","102","274","338","3","6.9 %","15.2 %",".185",".259",".251",".305",".436",".311","91","-11.5","-40.9","-2.4","3.8","12179"
"Jay Bruce","- - -","642","2549","130","302","383","17","8.6 %","22.2 %",".235",".255",".237",".303",".472",".325","103","-7.1","3.5","-47.5","3.7","9892"
"Luis Valbuena","- - -","435","1524","69","165","194","5","10.6 %","25.8 %",".200",".254",".220",".306",".420",".313","98","-5.8","-9.2","-5.6","3.7","4969"
"Yangervis Solarte","- - -","539","2110","65","226","259","6","6.4 %","12.7 %",".160",".268",".257",".310",".417",".313","96","-15.2","-25.5","-7.5","3.6","5352"
"Chase Utley","- - -","459","1528","31","177","139","15","7.9 %","17.7 %",".140",".267",".233",".309",".373",".298","86","7.5","-18.1","4.2","3.5","1679"
"Lucas Duda","- - -","455","1703","82","179","225","1","10.6 %","26.0 %",".226",".266",".229",".323",".455",".331","109","-9.3","9.3","-31.9","3.5","2502"
"Carlos Gomez","- - -","490","1863","54","209","202","64","6.9 %","26.7 %",".159",".303",".236",".311",".395",".308","91","7.4","-13.8","-14.7","3.4","4881"
"Danny Valencia","- - -","444","1677","59","213","211","6","7.9 %","22.1 %",".172",".323",".274",".331",".446",".333","110","-15.8","4.7","-29.2","3.4","6364"
"Eric Sogard","- - -","379","1255","17","143","97","20","9.4 %","13.8 %",".104",".292",".259",".334",".363",".305","89","5.8","-10.3","2.7","3.4","7927"
"Brandon Guyer","- - -","403","1143","26","138","107","16","6.5 %","18.1 %",".144",".290",".249",".346",".393",".328","106","-2.9","4.4","-10.5","3.4","2636"
"Ben Gamel","- - -","402","1256","20","161","116","13","9.0 %","24.1 %",".124",".342",".263",".333",".387",".313","96","7.5","0.2","-8.9","3.3","12160"
"Jose Reyes","- - -","431","1610","34","207","151","62","7.5 %","14.2 %",".143",".275",".250",".307",".392",".302","88","8.9","-14.9","-4.6","3.2","1736"
"Chris Iannetta","- - -","437","1495","51","145","158","0","12.3 %","26.4 %",".172",".272",".219",".323",".392",".311","88","-12.8","-34.5","17.0","3.2","8267"
"Nori Aoki","- - -","321","1233","14","153","89","31","7.5 %","9.2 %",".105",".303",".282",".346",".387",".322","105","-4.7","2.4","-12.4","3.2","13075"
"Seth Smith","- - -","384","1263","41","166","137","2","10.4 %","21.1 %",".180",".293",".251",".338",".431",".331","110","-7.2","8.0","-20.1","3.2","7331"
"Ian Desmond","- - -","707","2792","90","369","341","72","7.2 %","25.0 %",".167",".316",".256",".313",".423",".316","86","10.0","-37.4","-23.0","3.2","6885"
"Jeimer Candelario","- - -","281","1161","30","129","102","6","10.7 %","25.3 %",".152",".282",".223",".318",".375",".304","88","2.3","-15.6","5.9","3.0","13621"
"Carlos Beltran","- - -","413","1633","62","190","211","1","6.9 %","17.6 %",".190",".293",".269",".320",".459",".331","107","-5.7","7.2","-34.0","3.0","589"
"Logan Morrison","- - -","526","1907","86","213","224","15","10.6 %","21.4 %",".201",".247",".226",".316",".427",".319","102","-0.7","4.5","-38.6","3.0","9205"
"Steve Pearce","- - -","374","1325","53","159","163","1","9.1 %","19.8 %",".194",".280",".252",".330",".446",".334","109","-0.9","12.7","-29.1","3.0","9957"
"Stephen Vogt","- - -","471","1626","54","167","207","3","8.1 %","18.6 %",".182",".281",".253",".314",".435",".318","100","-5.2","-5.8","-19.9","2.9","5000"
"Adrian Gonzalez","- - -","437","1715","55","174","236","0","8.6 %","17.6 %",".163",".301",".270",".335",".433",".328","109","-15.9","0.4","-26.9","2.9","1908"
"Welington Castillo","- - -","440","1632","71","163","234","3","6.4 %","26.3 %",".189",".305",".253",".306",".442",".319","96","-14.9","-23.0","-2.0","2.9","3256"
"Salvador Perez","Royals","539","2142","97","218","294","3","3.2 %","18.9 %",".196",".268",".252",".284",".448",".310","92","-20.0","-41.4","-2.2","2.9","7304"
"Yonder Alonso","- - -","667","2364","73","272","274","7","10.4 %","18.3 %",".156",".284",".253",".332",".409",".320","101","-12.6","-11.3","-40.8","2.8","2530"
"Robbie Grossman","- - -","509","1846","32","225","173","14","13.3 %","19.6 %",".126",".310",".255",".357",".381",".326","104","-2.8","5.1","-41.1","2.7","5254"
"Chad Pinder","Athletics","343","1067","42","128","120","2","6.4 %","26.4 %",".187",".299",".245",".303",".432",".313","98","-4.8","-7.7","-2.4","2.7","15191"
"Keon Broxton","- - -","376","1026","39","136","95","60","10.4 %","38.6 %",".179",".317",".209",".297",".388",".297","81","5.6","-20.2","12.4","2.7","9253"
"Scott Schebler","- - -","379","1378","61","171","167","13","8.3 %","23.4 %",".203",".274",".240",".318",".443",".325","98","0.8","-3.4","-15.4","2.6","12225"
"Austin Jackson","- - -","391","1423","19","155","133","25","7.4 %","25.4 %",".114",".359",".270",".326",".384",".310","95","0.4","-8.2","-13.5","2.6","9848"
"Tucker Barnhart","Reds","569","2003","38","165","199","6","10.0 %","18.2 %",".123",".296",".252",".330",".375",".303","84","-19.3","-58.5","20.2","2.5","10200"
"Rajai Davis","- - -","493","1473","27","222","112","111","6.4 %","21.6 %",".132",".298",".243",".297",".376",".293","80","18.1","-18.4","-6.8","2.5","3708"
"Adam Lind","- - -","391","1303","54","159","204","1","9.2 %","18.1 %",".192",".294",".270",".336",".462",".338","111","-7.4","10.4","-28.9","2.5","8027"
"Leury Garcia","White Sox","345","1284","22","163","111","38","3.5 %","23.1 %",".114",".344",".272",".307",".386",".298","86","6.8","-15.0","-4.6","2.4","5913"
"Jon Jay","- - -","500","1819","8","225","119","12","6.4 %","17.5 %",".076",".332",".271",".337",".348",".303","87","2.8","-25.3","-10.1","2.4","5227"
"Tony Wolters","Rockies","349","1123","7","118","115","6","10.3 %","18.6 %",".085",".295",".239",".327",".324",".285","59","0.1","-58.8","45.6","2.4","11470"
"James McCann","- - -","561","2122","58","195","237","5","5.7 %","25.5 %",".140",".311",".247",".297",".387",".296","83","-14.7","-58.0","10.5","2.3","12859"
"Jose Peraza","- - -","520","1885","28","200","154","77","4.0 %","12.6 %",".101",".301",".273",".312",".374",".297","79","7.4","-42.7","4.3","2.3","13593"
"Juan Lagares","Mets","479","1246","17","146","98","25","5.3 %","20.4 %",".109",".303",".248",".294",".357",".281","77","4.5","-31.7","14.5","2.3","5384"
"Matt Adams","- - -","541","1550","82","181","256","1","6.8 %","25.7 %",".225",".282",".247",".301",".472",".324","100","-3.5","-4.3","-22.7","2.3","9393"
"Caleb Joseph","- - -","340","1083","22","109","97","2","5.1 %","23.1 %",".122",".280",".227",".272",".349",".270","65","-1.8","-47.8","32.8","2.2","7087"
"Kurt Suzuki","- - -","508","1858","61","190","262","0","5.7 %","12.1 %",".163",".267",".261",".318",".424",".318","95","-7.6","-17.3","-21.6","2.1","8259"
"Albert Almora Jr.","Cubs","461","1282","28","156","133","4","5.0 %","17.0 %",".129",".312",".274",".311",".403",".304","87","-5.6","-27.7","6.9","2.1","14109"
"Teoscar Hernandez","- - -","327","1194","60","156","153","11","8.6 %","31.8 %",".240",".303",".237",".304",".476",".328","106","-1.8","7.0","-26.7","2.1","13066"
"Danny Espinosa","- - -","368","1308","43","155","140","18","8.3 %","29.7 %",".154",".274",".211",".294",".365",".285","74","5.8","-35.6","13.1","2.0","9219"
"Sandy Leon","Red Sox","358","1191","24","120","118","1","7.0 %","24.3 %",".115",".282",".223",".283",".339",".272","62","-7.9","-62.7","42.3","2.0","5273"
"Matt Kemp","- - -","591","2355","99","282","362","13","5.9 %","22.8 %",".195",".313",".272",".314",".467",".330","107","-10.7","9.1","-64.7","2.0","5631"
"Mark Trumbo","- - -","549","2204","109","277","284","3","7.0 %","24.6 %",".207",".290",".251",".305",".458",".326","104","-6.4","2.5","-58.6","1.9","6876"
"Alcides Escobar","Royals","612","2504","20","258","190","46","3.9 %","13.9 %",".086",".285",".251",".284",".336",".270","64","9.8","-97.6","31.2","1.9","6310"
"Hernan Perez","- - -","594","1740","45","176","175","68","4.1 %","21.2 %",".139",".301",".254",".284",".393",".289","75","8.1","-45.2","7.8","1.8","5751"
"Matt Holliday","- - -","313","1195","45","125","164","3","11.0 %","21.1 %",".188",".286",".250",".341",".438",".336","110","-8.3","5.8","-26.9","1.8","1873"
"Melky Cabrera","- - -","676","2670","56","289","334","9","6.0 %","11.6 %",".136",".303",".284",".326",".419",".320","100","-14.8","-16.2","-56.0","1.8","4022"
"Kendrys Morales","- - -","645","2537","103","276","353","2","8.9 %","18.8 %",".186",".284",".259",".331",".445",".333","108","-29.0","-4.7","-64.9","1.8","8610"
"Nomar Mazara","Rangers","537","2189","79","253","308","7","7.4 %","21.2 %",".174",".300",".261",".320",".435",".321","92","-6.7","-29.4","-28.3","1.7","14553"
"Pedro Alvarez","- - -","318","1028","58","125","148","3","10.0 %","26.7 %",".234",".274",".240",".316",".474",".335","111","4.0","18.0","-36.1","1.6","2495"
"Jhonny Peralta","Cardinals","258","1011","25","104","100","1","7.3 %","17.8 %",".132",".303",".266",".321",".398",".312","96","-9.6","-14.4","-2.5","1.6","1738"
"Trevor Plouffe","- - -","343","1301","44","141","155","4","7.5 %","21.4 %",".166",".273",".238",".297",".404",".303","88","-7.4","-26.8","-4.2","1.4","7462"
"J.J. Hardy","Orioles","302","1143","21","112","109","0","5.1 %","17.8 %",".113",".273",".237",".275",".350",".271","65","-5.7","-52.7","27.4","1.4","3797"
"Wilmer Difo","Nationals","361","1042","15","132","78","23","8.0 %","19.1 %",".102",".300",".250",".311",".352",".285","72","5.0","-32.1","12.2","1.4","14320"
"Cameron Rupp","Phillies","274","1049","39","95","116","2","7.8 %","28.5 %",".181",".300",".236",".301",".417",".307","89","-7.1","-21.4","1.1","1.4","11146"
"Ben Revere","- - -","364","1317","5","165","89","66","4.9 %","9.3 %",".074",".299",".273",".311",".347",".288","78","13.0","-22.5","-8.1","1.3","4712"
"Gregor Blanco","- - -","379","1105","11","149","69","40","10.1 %","20.5 %",".107",".313",".250",".327",".357",".299","86","10.8","-8.7","-14.8","1.2","3123"
"Aaron Altherr","- - -","357","1151","37","142","151","21","9.6 %","28.7 %",".183",".286",".221",".310",".404",".309","90","-2.2","-17.2","-8.8","1.2","11270"
"Sean Rodriguez","- - -","475","1047","36","137","112","7","9.1 %","30.9 %",".168",".306",".227",".311",".394",".307","90","-1.6","-14.1","-7.5","1.1","6589"
"Brandon Moss","- - -","391","1391","69","154","175","3","9.0 %","30.0 %",".219",".267",".220",".295",".439",".313","94","-0.4","-10.3","-24.3","1.1","4467"
"Angel Pagan","Giants","262","1094","15","126","92","27","6.8 %","14.5 %",".105",".304",".269",".317",".374",".302","90","3.9","-8.6","-15.9","1.0","2918"
"Hanley Ramirez","- - -","445","1855","80","227","263","20","8.3 %","19.4 %",".189",".282",".258",".326",".447",".330","102","-11.4","-6.4","-47.8","0.9","8001"
"Jayson Werth","Nationals","301","1273","43","170","140","9","11.3 %","22.9 %",".169",".274",".233",".322",".402",".316","93","4.0","-6.7","-25.2","0.8","1327"
"Ryon Healy","- - -","401","1599","69","177","214","0","4.7 %","22.2 %",".190",".298",".261",".298",".452",".318","102","-11.0","-7.3","-39.0","0.8","15447"
"Gerardo Parra","- - -","633","2139","46","274","262","41","5.0 %","17.1 %",".139",".317",".278",".319",".417",".315","86","-8.0","-47.0","-14.3","0.8","8553"
"Chris Carter","- - -","351","1312","73","154","184","4","11.7 %","33.0 %",".242",".258",".211",".310",".453",".327","104","-7.9","-1.7","-34.0","0.7","9911"
"Colin Moran","- - -","309","1005","25","99","143","0","7.1 %","20.7 %",".143",".326",".274",".328",".417",".317","97","-8.7","-12.3","-13.2","0.7","16909"
"Daniel Descalso","- - -","551","1513","38","181","183","10","12.5 %","23.6 %",".154",".282",".228",".327",".383",".309","83","4.3","-27.4","-14.4","0.7","8392"
"Matt Wieters","- - -","465","1665","54","154","200","3","8.0 %","20.3 %",".152",".270",".238",".302",".390",".298","83","-9.0","-45.6","-5.6","0.4","4298"
"Guillermo Heredia","- - -","382","1101","17","115","75","6","8.1 %","17.3 %",".102",".282",".240",".317",".342",".292","84","-0.3","-21.9","-11.8","0.4","18721"
"Mark Reynolds","- - -","570","1863","74","217","258","7","10.8 %","28.4 %",".189",".323",".252",".336",".441",".335","98","-13.2","-17.9","-38.0","0.4","7619"
"Tyler Saladino","- - -","326","1064","19","109","92","28","5.8 %","23.2 %",".104",".282",".226",".278",".330",".267","65","1.9","-44.2","11.5","0.4","10807"
"Adam Engel","White Sox","329","1047","18","109","76","27","4.9 %","30.9 %",".115",".305",".215",".271",".330",".263","63","9.0","-38.7","6.5","0.3","15082"
"Mike Napoli","- - -","407","1599","81","198","217","9","11.5 %","29.7 %",".217",".267",".220",".317",".438",".324","97","-10.1","-16.0","-35.9","0.3","3057"
"Orlando Arcia","Brewers","479","1676","37","160","159","37","6.5 %","20.5 %",".117",".288",".243",".292",".360",".279","68","3.1","-64.6","13.3","0.2","13185"
"Ryan Goins","- - -","441","1366","19","125","135","6","7.3 %","22.0 %",".109",".291",".234",".291",".343",".277","70","-2.7","-51.7","7.3","0.2","9807"
"Prince Fielder","Rangers","247","1063","31","107","142","0","9.0 %","14.2 %",".146",".293",".273",".348",".419",".331","103","-7.8","-4.4","-29.9","0.2","4613"
"Jace Peterson","- - -","481","1574","20","150","137","37","10.9 %","20.3 %",".106",".287",".232",".320",".338",".292","80","1.2","-38.0","-11.3","0.1","12325"
"Nick Hundley","- - -","414","1387","41","141","162","7","5.9 %","23.4 %",".171",".318",".260",".306",".431",".314","89","-8.9","-28.5","-15.2","0.1","3376"
"Brandon Drury","- - -","435","1571","47","151","175","2","5.9 %","21.9 %",".168",".296",".251",".299",".419",".306","84","-4.1","-35.3","-15.8","0.1","11615"
"Ichiro Suzuki","- - -","449","1071","5","117","63","22","7.7 %","12.7 %",".065",".287",".253",".312",".318",".279","74","0.9","-31.7","-1.4","0.0","1101"
"Albert Pujols","Angels","706","2990","136","314","472","16","6.9 %","12.5 %",".185",".242",".249",".303",".434",".312","97","-24.8","-35.2","-69.0","-0.1","1177"
"Danny Santana","- - -","393","1246","34","163","141","49","4.3 %","26.2 %",".162",".310",".245",".284",".406",".292","75","7.7","-30.0","-15.0","-0.4","10322"
"Erick Aybar","- - -","390","1467","13","145","100","29","5.7 %","13.6 %",".083",".286",".253",".301",".335",".278","72","-0.2","-49.5","-2.2","-0.4","4082"
"Yasmany Tomas","Diamondbacks","309","1175","48","131","163","7","5.2 %","25.4 %",".193",".323",".266",".306",".459",".325","97","-8.4","-13.1","-29.7","-0.6","17171"
"Cheslor Cuthbert","Royals","322","1160","27","100","119","3","6.5 %","20.2 %",".128",".295",".250",".300",".378",".294","80","-8.6","-37.7","-13.1","-1.0","10473"
"Pablo Sandoval","- - -","408","1339","42","134","160","1","5.9 %","18.6 %",".161",".272",".244",".293",".405",".298","85","-9.5","-34.1","-19.1","-1.1","5409"
"Chris Owings","- - -","536","1909","28","199","179","65","5.3 %","24.7 %",".122",".303",".235",".279",".358",".274","63","10.2","-76.3","3.2","-1.3","10030"
"Alexei Ramirez","- - -","299","1128","16","92","110","25","4.6 %","11.6 %",".101",".265",".245",".282",".346",".272","69","-7.7","-49.5","-1.1","-1.5","5133"
"Victor Martinez","Tigers","514","2038","57","174","251","0","7.3 %","12.5 %",".135",".274",".262",".320",".397",".308","91","-28.0","-50.0","-53.7","-3.7","393"
